,v54,v70,v104,v114,v32,v102_prime,v62,i12,v82_prime,v74_prime,v86,v64,v46,v56,v50_prime,v42,v68_prime,v52_prime,v86_prime,v28_prime,i8,v94_prime,v26,v26_prime,v58,v42_prime,v98,v110,v68,v106_prime,v110_prime,v34,v28,v40_prime,v62_prime,v100,v98_prime,v60_prime,v94,v46_prime,v84_prime,v114_prime,v38_prime,i4,v54_prime,i18,v80_prime,v88_prime,v56_prime,v112,v74,v102,v92_prime,v72,v30_prime,v90_prime,v36_prime,i24,v100_prime,v90,i20,v76,v44,v48,v96_prime,v104_prime,v50,v84,i14,v78_prime,i2,v82,v66,v78,v64_prime,v30,v70_prime,v108,v112_prime,v96,v108_prime,v36,i16,v34_prime,v92,v38,v32_prime,v52,v76_prime,v58_prime,v72_prime,v44_prime,v66_prime,v106,v60,i10,i6,v88,v40,v48_prime,i22,v80
0,1,1,0,0,1,1,1.0,1.0,1,1,0.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1.0,1,1.0,1,1,1,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,0.0,1.0,1,1.0,1
1,1,1,0,0,1,1,1.0,1.0,1,1,0.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,0.0,1,1,1.0,1,1,0,1,1,0.0,1.0,1.0,1,1.0,1,1,1,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,0.0,1.0,1,1.0,1
2,1,1,0,0,1,1,1.0,1.0,1,1,0.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0,1,1,0.0,1.0,1.0,1,1.0,1,1,1,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1.0,1.0,0.0,1.0,1,1.0,1
3,1,1,0,0,1,1,1.0,1.0,1,1,0.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,0.0,1,1,1.0,1,1,0,1,1,0.0,1.0,1.0,1,1.0,1,1,1,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,0.0,1.0,1,1.0,1
4,1,1,0,0,1,1,1.0,1.0,1,1,0.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1.0,1,1.0,1,1,1,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,0.0,1.0,1,1.0,1
5,1,1,0,1,1,1,1.0,1.0,1,1,0.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1.0,1,1.0,1,1,1,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,0.0,1.0,1,1.0,1
6,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0,1,1,0.0,1.0,1.0,1,1.0,1,1,1,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1,1.0,1
7,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0,1,1,0.0,1.0,1.0,1,1.0,1,1,1,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1,0.0,1
8,1,1,1,0,1,1,1.0,1.0,1,1,1.0,1,0,0,1,0,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,1,1,1,1,1,1,1.0,1,1,1.0,0,0,1,1,1,1.0,0.0,1.0,1,1.0,0,1,0,1,1,1,1.0,1,0,1,1,1.0,1,1,0,1,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,1,1.0,0
9,1,1,0,0,1,1,1.0,1.0,1,1,1.0,1,1,0,1,1,1,1,1,1,1.0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1.0,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1,0,1,1,1,1,1,1.0,1,1,1.0,1,1,0,1,1,0.0,1.0,1.0,1,1.0,1,1,1,1,1,1,0.0,1,0,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1.0,1.0,1.0,1.0,1,0.0,1
